location_key,neighbourhood_group,neighbourhood,latitude,longitude
46,Manhattan,Morningside Heights,40.80549,-73.95924
47,Queens,Jamaica,40.67252,-73.76597
48,Queens,Middle Village,40.71722,-73.87856
49,Manhattan,NoHo,40.72773,-73.99134
50,Queens,Ditmars Steinway,40.77185,-73.90502
51,Manhattan,Flatiron District,40.7403,-73.98498
52,Manhattan,Roosevelt Island,40.76193,-73.9501
53,Manhattan,Greenwich Village,40.73194,-73.99474
54,Manhattan,Little Italy,40.71961,-73.9954
55,Brooklyn,East Flatbush,40.64446,-73.9503
56,Staten Island,Tompkinsville,40.63536,-74.08537
57,Queens,Astoria,40.75384,-73.91433
58,Bronx,Clason Point,40.81309,-73.85514
59,Bronx,Eastchester,40.88057,-73.83572
60,Bronx,Kingsbridge,40.87207,-73.90193
61,Manhattan,Two Bridges,40.71271,-73.99776
62,Queens,Queens Village,40.72413,-73.76133
63,Queens,Rockaway Beach,40.58615,-73.81245
64,Queens,Forest Hills,40.70925,-73.85262
65,Manhattan,Nolita,40.72255,-73.99346
66,Bronx,Woodlawn,40.89747,-73.8639
67,Bronx,University Heights,40.85811,-73.90675
68,Brooklyn,Gravesend,40.60452,-73.97103
69,Manhattan,Gramercy,40.73476,-73.98452
70,Bronx,Allerton,40.86466,-73.85709
71,Brooklyn,East New York,40.67497,-73.87305
72,Manhattan,Theater District,40.75895,-73.9883
73,Bronx,Concourse Village,40.82802,-73.92039
74,Brooklyn,Sheepshead Bay,40.58422,-73.94079
75,Staten Island,Emerson Hill,40.60742,-74.14388
76,Brooklyn,Fort Hamilton,40.61927,-74.0307
77,Brooklyn,Bensonhurst,40.61922,-73.99399
78,Manhattan,Tribeca,40.71193,-74.00817
79,Staten Island,Shore Acres,40.61077,-74.06824
80,Brooklyn,Sunset Park,40.66293,-73.99833
81,Bronx,Concourse,40.83001,-73.92158
82,Queens,Elmhurst,40.7347,-73.88066
83,Brooklyn,Brighton Beach,40.58147,-73.96726
84,Queens,Jackson Heights,40.74965,-73.89344
85,Brooklyn,Cypress Hills,40.67855,-73.8896
86,Queens,St. Albans,40.70554,-73.76637
87,Staten Island,Arrochar,40.59251,-74.06479
88,Queens,Rego Park,40.73349,-73.86009
89,Bronx,Wakefield,40.89557,-73.8447
90,Staten Island,Clifton,40.62318,-74.07848
91,Brooklyn,Bay Ridge,40.6339,-74.02035
92,Staten Island,Graniteville,40.62109,-74.16534
93,Bronx,Spuyten Duyvil,40.87991,-73.91673
94,Staten Island,Stapleton,40.62766,-74.07988
95,Queens,Briarwood,40.71151,-73.81561
96,Queens,Ozone Park,40.68581,-73.84642
97,Brooklyn,Columbia St,40.68636,-74.00345
98,Brooklyn,Vinegar Hill,40.70279,-73.98284
99,Bronx,Mott Haven,40.81128,-73.92399
100,Bronx,Longwood,40.81611,-73.89909
101,Brooklyn,Canarsie,40.62897,-73.90334
102,Manhattan,Battery Park City,40.71012,-74.01504
103,Manhattan,Civic Center,40.71164,-74.00774
104,Queens,East Elmhurst,40.75541,-73.89239
105,Staten Island,New Springville,40.59274,-74.16178
106,Bronx,Morris Heights,40.84937,-73.91328
107,Queens,Arverne,40.59783,-73.80158
108,Queens,Cambria Heights,40.69249,-73.73382
109,Staten Island,Tottenville,40.50868,-74.23986
110,Staten Island,Mariners Harbor,40.62879,-74.16062
111,Staten Island,Concord,40.60183,-74.08953
112,Brooklyn,Borough Park,40.63324,-73.99461
113,Queens,Bayside,40.75666,-73.76314
114,Brooklyn,Downtown Brooklyn,40.69594,-73.98375
115,Bronx,Port Morris,40.80461,-73.92276
116,Bronx,Fieldston,40.88757,-73.90522
117,Queens,Kew Gardens,40.70947,-73.82922
118,Brooklyn,Midwood,40.62908,-73.95965
119,Queens,College Point,40.78417,-73.83875
120,Bronx,Mount Eden,40.84058,-73.91382
121,Bronx,City Island,40.85235,-73.78873
122,Queens,Glendale,40.70538,-73.89448
123,Staten Island,Port Richmond,40.62922,-74.13354
124,Brooklyn,Red Hook,40.67685,-74.00581
125,Queens,Richmond Hill,40.7017,-73.82316
126,Queens,Bellerose,40.73193,-73.74481
127,Queens,Maspeth,40.73732,-73.90168
128,Bronx,Williamsbridge,40.88296,-73.86264
129,Bronx,Soundview,40.82138,-73.87603
130,Queens,Woodhaven,40.68968,-73.85219
131,Staten Island,Woodrow,40.53884,-74.19826
132,Bronx,Co-op City,40.86317,-73.82494
133,Manhattan,Stuyvesant Town,40.73196,-73.97932
134,Bronx,Parkchester,40.83645,-73.86634
135,Bronx,North Riverdale,40.90804,-73.90005
136,Brooklyn,Dyker Heights,40.6283,-74.01608
137,Bronx,Bronxdale,40.85667,-73.86543
138,Brooklyn,Sea Gate,40.57645,-74.01065
139,Bronx,Riverdale,40.88579,-73.91599
140,Queens,Kew Gardens Hills,40.72664,-73.82795
141,Queens,Bay Terrace,40.78645,-73.77958
142,Bronx,Norwood,40.87605,-73.88047
143,Bronx,Claremont Village,40.84192,-73.91108
144,Queens,Whitestone,40.79721,-73.816
145,Bronx,Fordham,40.86705,-73.88545
146,Queens,Bayswater,40.60549,-73.75547
147,Brooklyn,Navy Yard,40.70481,-73.97755
148,Brooklyn,Brownsville,40.66682,-73.92303
149,Staten Island,Eltingville,40.54268,-74.16254
150,Queens,Fresh Meadows,40.75037,-73.79154
151,Bronx,Mount Hope,40.84611,-73.91036
152,Staten Island,Lighthouse Hill,40.57718,-74.13981
153,Queens,Springfield Gardens,40.67425,-73.75796
154,Queens,Howard Beach,40.65443,-73.84605
155,Queens,Belle Harbor,40.57321,-73.85769
156,Queens,Jamaica Estates,40.71873,-73.80324
157,Bronx,Van Nest,40.8423,-73.87055
158,Bronx,Morris Park,40.85465,-73.85669
159,Staten Island,West Brighton,40.63182,-74.124
160,Queens,Far Rockaway,40.59642,-73.75606
161,Queens,South Ozone Park,40.66788,-73.82419
162,Bronx,Tremont,40.83875,-73.88728
163,Queens,Corona,40.73886,-73.85147
164,Staten Island,Great Kills,40.5517,-74.14636
165,Brooklyn,Manhattan Beach,40.5777,-73.93988
166,Manhattan,Marble Hill,40.87494,-73.91057
167,Staten Island,Dongan Hills,40.58115,-74.09182
168,Staten Island,Castleton Corners,40.61363,-74.12152
169,Bronx,East Morrisania,40.82873,-73.89553
170,Bronx,Hunts Point,40.81335,-73.8873
171,Queens,Neponsit,40.57215,-73.85822
172,Bronx,Pelham Bay,40.84423,-73.83602
173,Staten Island,Randall Manor,40.63878,-74.10636
174,Bronx,Throgs Neck,40.81476,-73.80001
175,Staten Island,Todt Hill,40.60926,-74.10092
176,Bronx,West Farms,40.84328,-73.88173
177,Staten Island,Silver Lake,40.62257,-74.09984
178,Bronx,Morrisania,40.82424,-73.91316
179,Queens,Laurelton,40.67168,-73.74744
180,Staten Island,Grymes Hill,40.61201,-74.09513
181,Queens,Holliswood,40.72402,-73.76828
182,Bronx,Pelham Gardens,40.86617,-73.848
183,Bronx,Belmont,40.85487,-73.88711
184,Queens,Rosedale,40.67836,-73.729
185,Queens,Edgemere,40.59606,-73.77882
186,Staten Island,New Brighton,40.64465,-74.09272
187,Staten Island,Midland Beach,40.57411,-74.09436
188,Bronx,Baychester,40.87223,-73.84335
189,Bronx,Melrose,40.8183,-73.91938
190,Brooklyn,Bergen Beach,40.6235,-73.91056
191,Staten Island,Richmondtown,40.57093,-74.12429
192,Staten Island,Howland Hook,40.63245,-74.17065
193,Bronx,Schuylerville,40.8355,-73.83729
194,Brooklyn,Coney Island,40.57476,-74.00101
195,Staten Island,New Dorp Beach,40.56464,-74.1
196,Staten Island,Prince's Bay,40.52211,-74.18028
197,Staten Island,South Beach,40.59116,-74.08174
198,Brooklyn,Bath Beach,40.60979,-74.01121
199,Queens,Jamaica Hills,40.71245,-73.79806
200,Staten Island,Oakwood,40.56233,-74.12673
201,Bronx,Castle Hill,40.82286,-73.84765
202,Queens,Hollis,40.71368,-73.76337
203,Queens,Douglaston,40.76978,-73.73915
204,Staten Island,Huguenot,40.53871,-74.16966
205,Bronx,Olinville,40.88438,-73.86397
206,Bronx,Edenwald,40.88534,-73.83434
207,Staten Island,Grant City,40.58023,-74.10725
208,Staten Island,Westerleigh,40.61357,-74.13566
209,Staten Island,"Bay Terrace, Staten Island",40.55182,-74.14439
210,Bronx,Westchester Square,40.83758,-73.84382
211,Queens,Little Neck,40.75794,-73.72956
212,Staten Island,Fort Wadsworth,40.59546,-74.06092
213,Staten Island,Rosebank,40.61353,-74.06724
214,Bronx,Unionport,40.83121,-73.8483
215,Brooklyn,Mill Basin,40.60903,-73.91846
216,Staten Island,Arden Heights,40.56033,-74.18259
217,Staten Island,Bull's Head,40.60295,-74.17117
218,Staten Island,New Dorp,40.57044,-74.11747
219,Staten Island,Rossville,40.5479,-74.21017
220,Queens,Breezy Point,40.56605,-73.86994
221,Staten Island,Willowbrook,40.59886,-74.13217
